epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,3165.44,0.81532,1.05751,0.58498,0.00217,0.25857,0.92674,0.89054,0.92946,0.82553,0.92071,0.87913,0.91522,0.73535,0.81429,1.24476,0.70703,0.00289,0,0.0295617,0.0098539,0.0295617,0.0098539,0.0295617,0.0098539,0.0295617,0.0098539
55,3223.69,0.82378,1.05739,0.57389,0.00223,0.25384,0.92233,0.87627,0.9292,0.81238,0.9128,0.86425,0.91353,0.73442,0.8836,1.35534,0.73105,0.00302,0,0.0295308,0.00984359,0.0295308,0.00984359,0.0295308,0.00984359,0.0295308,0.00984359
56,3281.71,0.81809,1.05645,0.56851,0.00221,0.24528,0.9243,0.8708,0.91951,0.82341,0.9158,0.86053,0.90506,0.73691,0.77695,1.19272,0.70738,0.00271,0,0.0294999,0.00983329,0.0294999,0.00983329,0.0294999,0.00983329,0.0294999,0.00983329
57,3338.55,0.81404,1.03397,0.56341,0.00231,0.26186,0.91294,0.87959,0.92511,0.82869,0.90286,0.86934,0.91092,0.73163,0.80705,1.24202,0.69626,0.00275,0,0.029469,0.00982299,0.029469,0.00982299,0.029469,0.00982299,0.029469,0.00982299
58,3395.68,0.81086,1.02827,0.55891,0.0022,0.23242,0.91566,0.88382,0.92593,0.82295,0.90493,0.8722,0.91157,0.70961,0.85095,1.26347,0.72263,0.00287,0,0.0294381,0.00981268,0.0294381,0.00981268,0.0294381,0.00981268,0.0294381,0.00981268
59,3452.84,0.80165,1.03065,0.5612,0.0022,0.25914,0.93311,0.87812,0.93158,0.83168,0.9239,0.8759,0.9244,0.75611,0.77825,1.18975,0.68889,0.0027,0,0.0294071,0.00980238,0.0294071,0.00980238,0.0294071,0.00980238,0.0294071,0.00980238
60,3510.4,0.82357,1.04277,0.56365,0.00222,0.23208,0.92463,0.88229,0.92306,0.82656,0.91231,0.8705,0.90524,0.71869,0.79165,1.20266,0.69674,0.00267,0,0.0293762,0.00979208,0.0293762,0.00979208,0.0293762,0.00979208,0.0293762,0.00979208
61,3568.77,0.81712,1.0281,0.54952,0.00217,0.22112,0.92021,0.88819,0.92582,0.83036,0.91289,0.87935,0.91078,0.74834,0.78314,1.23111,0.68609,0.00263,0,0.0293453,0.00978177,0.0293453,0.00978177,0.0293453,0.00978177,0.0293453,0.00978177
62,3625.22,0.79287,1.01449,0.54895,0.00221,0.23606,0.91425,0.89977,0.93047,0.83193,0.90499,0.88799,0.91426,0.73758,0.7824,1.21721,0.68817,0.00267,0,0.0293144,0.00977147,0.0293144,0.00977147,0.0293144,0.00977147,0.0293144,0.00977147
63,3683.49,0.79745,1.01084,0.54429,0.00208,0.23758,0.92086,0.88202,0.92464,0.82863,0.91463,0.87533,0.91459,0.73452,0.79157,1.21858,0.69539,0.00274,0,0.0292835,0.00976116,0.0292835,0.00976116,0.0292835,0.00976116,0.0292835,0.00976116
64,3741.26,0.80051,1.02992,0.55203,0.00214,0.23882,0.92452,0.88877,0.92897,0.82726,0.91392,0.88085,0.9166,0.75531,0.80979,1.23331,0.69178,0.00268,0,0.0292526,0.00975086,0.0292526,0.00975086,0.0292526,0.00975086,0.0292526,0.00975086
65,3799.04,0.8048,1.02019,0.54413,0.00215,0.2293,0.92439,0.88729,0.93325,0.83447,0.91518,0.87805,0.92242,0.74056,0.76983,1.21572,0.69551,0.00262,0,0.0292217,0.00974056,0.0292217,0.00974056,0.0292217,0.00974056,0.0292217,0.00974056
66,3857.85,0.81344,1.01452,0.54992,0.00206,0.20887,0.93672,0.88393,0.93459,0.84027,0.92745,0.87347,0.92182,0.74925,0.7858,1.19496,0.69666,0.00272,0,0.0291908,0.00973025,0.0291908,0.00973025,0.0291908,0.00973025,0.0291908,0.00973025
67,3915.48,0.78843,0.99836,0.52902,0.00219,0.22454,0.92628,0.8995,0.93106,0.83463,0.91855,0.88806,0.91799,0.73926,0.78432,1.20665,0.69095,0.00268,0,0.0291598,0.00971995,0.0291598,0.00971995,0.0291598,0.00971995,0.0291598,0.00971995
68,3972.52,0.79438,1.00296,0.52097,0.00213,0.21252,0.94084,0.87155,0.93203,0.83639,0.93297,0.86287,0.91888,0.74199,0.78472,1.20475,0.69562,0.00274,0,0.0291289,0.00970965,0.0291289,0.00970965,0.0291289,0.00970965,0.0291289,0.00970965
69,4031.12,0.79908,1.01222,0.52545,0.00203,0.20905,0.91981,0.89539,0.93294,0.83598,0.9091,0.88335,0.91664,0.73276,0.77438,1.20202,0.71542,0.00263,0,0.029098,0.00969934,0.029098,0.00969934,0.029098,0.00969934,0.029098,0.00969934
70,4088.73,0.78112,0.98392,0.50984,0.00202,0.21254,0.93231,0.88917,0.93049,0.82909,0.92317,0.87992,0.9178,0.73228,0.78351,1.22338,0.698,0.00275,0,0.0290671,0.00968904,0.0290671,0.00968904,0.0290671,0.00968904,0.0290671,0.00968904
71,4147.19,0.78473,0.98614,0.51122,0.00198,0.20775,0.92782,0.89677,0.93064,0.83326,0.91734,0.88447,0.9147,0.73596,0.78858,1.24667,0.72507,0.00269,0,0.0290362,0.00967873,0.0290362,0.00967873,0.0290362,0.00967873,0.0290362,0.00967873
72,4204.05,0.76524,0.99665,0.50885,0.00204,0.19148,0.93069,0.88725,0.93615,0.83637,0.91943,0.87504,0.91991,0.74246,0.78323,1.22873,0.7062,0.00273,0,0.0290053,0.00966843,0.0290053,0.00966843,0.0290053,0.00966843,0.0290053,0.00966843
73,4262.68,0.78684,0.99034,0.51337,0.00207,0.24113,0.9253,0.89025,0.93495,0.83278,0.91582,0.88015,0.92264,0.73017,0.79201,1.23408,0.72842,0.00277,0,0.0289744,0.00965813,0.0289744,0.00965813,0.0289744,0.00965813,0.0289744,0.00965813
74,4320.29,0.78693,0.98514,0.50536,0.00205,0.22116,0.9228,0.88558,0.93173,0.83409,0.91246,0.87353,0.91759,0.73503,0.79278,1.22611,0.7411,0.00269,0,0.0289435,0.00964782,0.0289435,0.00964782,0.0289435,0.00964782,0.0289435,0.00964782
75,4379.2,0.78142,0.98058,0.52245,0.00201,0.22088,0.93538,0.88857,0.9343,0.83419,0.92753,0.88013,0.92018,0.73707,0.80361,1.33291,0.71633,0.00265,0,0.0289126,0.00963752,0.0289126,0.00963752,0.0289126,0.00963752,0.0289126,0.00963752
76,4437.26,0.78377,0.99218,0.49855,0.00201,0.1926,0.92818,0.88881,0.93159,0.84198,0.92625,0.87744,0.92181,0.74764,0.77487,1.23781,0.71133,0.00263,0,0.0288816,0.00962721,0.0288816,0.00962721,0.0288816,0.00962721,0.0288816,0.00962721
77,4495.61,0.77653,0.97239,0.50582,0.00199,0.21929,0.92254,0.89541,0.92733,0.82702,0.91135,0.88789,0.91525,0.72037,0.79799,1.27914,0.69213,0.00268,0,0.0288507,0.00961691,0.0288507,0.00961691,0.0288507,0.00961691,0.0288507,0.00961691
78,4553.56,0.7655,0.96158,0.49724,0.00203,0.22689,0.91423,0.9139,0.93374,0.83377,0.90317,0.90198,0.91912,0.73155,0.82367,1.26486,0.72111,0.0027,0,0.0288198,0.00960661,0.0288198,0.00960661,0.0288198,0.00960661,0.0288198,0.00960661
79,4610.98,0.76936,0.98527,0.50387,0.00204,0.22351,0.90097,0.89573,0.9269,0.8267,0.89151,0.88471,0.91501,0.72809,0.79165,1.23695,0.71527,0.00274,0,0.0287889,0.0095963,0.0287889,0.0095963,0.0287889,0.0095963,0.0287889,0.0095963
80,4669.51,0.78314,0.97111,0.4982,0.00197,0.21881,0.91572,0.86496,0.92077,0.82211,0.91203,0.85417,0.91167,0.71901,0.81362,1.26049,0.72669,0.00263,0,0.028758,0.009586,0.028758,0.009586,0.028758,0.009586,0.028758,0.009586
81,4728.29,0.78077,0.98903,0.49538,0.00203,0.21699,0.93909,0.8755,0.9316,0.84045,0.9326,0.86928,0.92227,0.74783,0.7733,1.23758,0.72389,0.0026,0,0.0287271,0.0095757,0.0287271,0.0095757,0.0287271,0.0095757,0.0287271,0.0095757
82,4786.53,0.78764,0.98153,0.48801,0.00193,0.18592,0.93426,0.88927,0.93097,0.8353,0.9327,0.88018,0.92132,0.72539,0.80971,1.2518,0.7303,0.00259,0,0.0286962,0.00956539,0.0286962,0.00956539,0.0286962,0.00956539,0.0286962,0.00956539
83,4844.06,0.76145,0.94943,0.48859,0.00203,0.20564,0.93346,0.88729,0.92745,0.8296,0.92384,0.87691,0.91541,0.73331,0.82076,1.25821,0.71535,0.00264,0,0.0286653,0.00955509,0.0286653,0.00955509,0.0286653,0.00955509,0.0286653,0.00955509
84,4902.33,0.76724,0.95554,0.4719,0.00194,0.21698,0.91828,0.90399,0.92908,0.83695,0.90705,0.89287,0.91273,0.74017,0.77212,1.25012,0.70234,0.00256,0,0.0286344,0.00954478,0.0286344,0.00954478,0.0286344,0.00954478,0.0286344,0.00954478
85,4961.14,0.75137,0.94781,0.49076,0.0019,0.20919,0.93343,0.8867,0.92877,0.83394,0.92577,0.87832,0.91913,0.74359,0.80372,1.25394,0.71021,0.00269,0,0.0286034,0.00953448,0.0286034,0.00953448,0.0286034,0.00953448,0.0286034,0.00953448
86,5018.73,0.76791,0.95554,0.4737,0.00206,0.18714,0.93921,0.87702,0.92406,0.82529,0.92729,0.86556,0.91025,0.72108,0.82737,1.27237,0.70947,0.00273,0,0.0285725,0.00952418,0.0285725,0.00952418,0.0285725,0.00952418,0.0285725,0.00952418
87,5075.96,0.75004,0.94948,0.4773,0.00194,0.19585,0.93646,0.85997,0.91606,0.80776,0.9325,0.85149,0.90527,0.70517,0.82904,1.2655,0.73038,0.00294,0,0.0285416,0.00951387,0.0285416,0.00951387,0.0285416,0.00951387,0.0285416,0.00951387
88,5134.18,0.75843,0.9517,0.47734,0.00199,0.21458,0.90833,0.87083,0.91908,0.82991,0.90012,0.85887,0.90357,0.73769,0.77493,1.2405,0.72027,0.00256,0,0.0285107,0.00950357,0.0285107,0.00950357,0.0285107,0.00950357,0.0285107,0.00950357
89,5192.5,0.76288,0.96005,0.48128,0.00189,0.19911,0.92089,0.87559,0.92184,0.83489,0.92137,0.86438,0.91367,0.73756,0.7808,1.22664,0.72113,0.00253,0,0.0284798,0.00949327,0.0284798,0.00949327,0.0284798,0.00949327,0.0284798,0.00949327
90,5250.83,0.75646,0.95701,0.46479,0.00186,0.20316,0.91928,0.87946,0.92883,0.84086,0.91009,0.86915,0.91671,0.74557,0.76192,1.21466,0.71074,0.00253,0,0.0284489,0.00948296,0.0284489,0.00948296,0.0284489,0.00948296,0.0284489,0.00948296
91,5309.92,0.7622,0.95473,0.4647,0.0019,0.19398,0.93302,0.8803,0.92763,0.84055,0.92682,0.87274,0.91863,0.74391,0.77485,1.23942,0.70037,0.00261,0,0.028418,0.00947266,0.028418,0.00947266,0.028418,0.00947266,0.028418,0.00947266
