epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,5544.79,0.34595,0.52152,0.35047,1.03272,0.93397,0.96497,0.97816,0.90082,0.93397,0.96497,0.9778,0.89173,0.32395,0.6803,0.34748,1.05255,0.0093181,0.0093181,0.0093181
107,5596.92,0.36146,0.53105,0.36271,1.04439,0.95288,0.95148,0.97489,0.89467,0.9527,0.95148,0.97503,0.89327,0.33729,0.67945,0.35342,1.05791,0.0093078,0.0093078,0.0093078
108,5648.9,0.35233,0.51289,0.3578,1.0373,0.9548,0.96839,0.982,0.91235,0.9548,0.96839,0.98253,0.90802,0.33427,0.68808,0.34495,1.05914,0.00929749,0.00929749,0.00929749
109,5700.31,0.36525,0.55296,0.36213,1.04758,0.97134,0.95859,0.98048,0.9052,0.97134,0.95859,0.98058,0.90028,0.329,0.62103,0.33429,1.0524,0.00928719,0.00928719,0.00928719
110,5752.06,0.36834,0.52021,0.36005,1.0405,0.94823,0.95091,0.9762,0.89073,0.95178,0.95408,0.97573,0.87822,0.35368,0.70744,0.36451,1.07518,0.00927689,0.00927689,0.00927689
111,5803.5,0.36268,0.5159,0.37754,1.03427,0.9824,0.94463,0.97924,0.88762,0.9824,0.94463,0.97924,0.87566,0.38422,0.725,0.36903,1.09375,0.00926658,0.00926658,0.00926658
112,5855.01,0.35404,0.52114,0.35375,1.04228,0.97102,0.93778,0.97664,0.8949,0.97102,0.93778,0.97491,0.88822,0.34367,0.72581,0.34618,1.08095,0.00925628,0.00925628,0.00925628
113,5906.49,0.34588,0.49145,0.33936,1.03415,0.98004,0.95563,0.98413,0.90665,0.98004,0.95563,0.98413,0.89723,0.33158,0.66751,0.32108,1.05694,0.00924597,0.00924597,0.00924597
114,5957.81,0.34187,0.48949,0.33735,1.02314,0.97242,0.95134,0.97849,0.90197,0.97597,0.95477,0.98403,0.89883,0.32894,0.66892,0.33609,1.04033,0.00923567,0.00923567,0.00923567
115,6009.56,0.34951,0.48429,0.34364,1.02842,0.95141,0.94546,0.97162,0.89399,0.95141,0.94546,0.97164,0.88561,0.3407,0.72787,0.36086,1.05949,0.00922537,0.00922537,0.00922537
116,6061.32,0.35971,0.51809,0.34986,1.04407,0.94963,0.96175,0.97929,0.90116,0.94963,0.96175,0.97801,0.89282,0.34361,0.77829,0.33349,1.06985,0.00921506,0.00921506,0.00921506
117,6112.98,0.34781,0.51088,0.34755,1.04178,0.95076,0.94409,0.95878,0.87537,0.95076,0.94409,0.95926,0.86923,0.33632,0.67583,0.38832,1.07213,0.00920476,0.00920476,0.00920476
118,6164.66,0.35663,0.52265,0.35059,1.0354,0.95076,0.94905,0.97726,0.89373,0.95076,0.94905,0.97682,0.88804,0.33608,0.63051,0.35164,1.06308,0.00919446,0.00919446,0.00919446
119,6216.61,0.34488,0.49865,0.33495,1.03132,0.9631,0.9603,0.97333,0.90041,0.9631,0.9603,0.97277,0.8801,0.32936,0.64254,0.34767,1.06815,0.00918415,0.00918415,0.00918415
120,6268.49,0.33966,0.46555,0.32492,1.02374,0.96487,0.96097,0.97329,0.89267,0.96487,0.96097,0.97678,0.89044,0.3404,0.70527,0.33251,1.06588,0.00917385,0.00917385,0.00917385
121,6320.37,0.33791,0.4769,0.32184,1.02353,0.96408,0.9549,0.9796,0.89998,0.96751,0.95833,0.98199,0.89541,0.33383,0.66124,0.32256,1.05853,0.00916354,0.00916354,0.00916354
122,6371.96,0.34109,0.47548,0.32781,1.03183,0.96199,0.96622,0.98355,0.91092,0.96199,0.96622,0.98211,0.90629,0.32273,0.64202,0.32077,1.04634,0.00915324,0.00915324,0.00915324
123,6423.48,0.35068,0.51076,0.34252,1.02642,0.96019,0.96964,0.98107,0.91376,0.96355,0.97307,0.98614,0.9036,0.3242,0.73174,0.32536,1.03715,0.00914294,0.00914294,0.00914294
124,6474.98,0.33933,0.4913,0.33573,1.01808,0.96262,0.95148,0.97489,0.91091,0.96262,0.95148,0.97213,0.90013,0.32632,0.74103,0.34521,1.03957,0.00913263,0.00913263,0.00913263
125,6526.46,0.33315,0.4979,0.33214,1.02639,0.9636,0.96351,0.98319,0.91346,0.9636,0.96351,0.98315,0.9091,0.31617,0.70897,0.33318,1.02654,0.00912233,0.00912233,0.00912233
